"2017-06-15 20:05:45 [main] INFO  c.c.invoicing.InvoicingApplication - Starting InvoicingApplication on DESKTOP-560J6HB with PID 8712 (C:\Users\User\Desktop\invoicing\target\classes started by User in C:\Users\User\Desktop\invoicing)
""2017-06-15 20:05:45 [main] INFO  c.c.invoicing.InvoicingApplication - No active profile set, falling back to default profiles: default
""2017-06-15 20:05:57 [main] INFO  c.c.invoicing.InvoicingApplication - Started InvoicingApplication in 13.183 seconds (JVM running for 13.93)
""2017-06-15 20:06:07 [https-jsse-nio-9000-exec-8] INFO  c.c.i.s.AuthenticationRestController - Korisnik sa username: worker1 se uspesno ulogovao.
""2017-06-15 20:06:34 [https-jsse-nio-9000-exec-13] INFO  c.c.i.services.Purchase_orderService - Korisnik sa username: worker1 je uradio operaciju: update u tabeli: purchase_order a objekat je: Purchase_order{purchase_order_id=220, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, date=Thu Jun 15 01:00:00 CEST 2017, purchase_order_number=1}
""2017-06-15 20:14:38 [main] INFO  c.c.invoicing.InvoicingApplication - Starting InvoicingApplication on DESKTOP-560J6HB with PID 10144 (C:\Users\User\Desktop\invoicing\target\classes started by User in C:\Users\User\Desktop\invoicing)
""2017-06-15 20:14:38 [main] INFO  c.c.invoicing.InvoicingApplication - No active profile set, falling back to default profiles: default
""2017-06-15 20:14:50 [main] INFO  c.c.invoicing.InvoicingApplication - Started InvoicingApplication in 12.365 seconds (JVM running for 12.925)
""2017-06-15 20:15:31 [https-jsse-nio-9000-exec-7] INFO  c.c.i.s.AuthenticationRestController - Korisnik sa username: worker1 se uspesno ulogovao.
""2017-06-15 20:16:02 [https-jsse-nio-9000-exec-7] INFO  c.c.i.s.Purchase_order_itemService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: purchase_order_item a objekat je: Purchase_order_item{purchase_order_item_id=230, price_list_item_id=0, total_amount=30, total_price=0.0, purchase_order=Purchase_order{purchase_order_id=220, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, date=Thu Jun 15 01:00:00 CEST 2017, purchase_order_number=1}, item=Item{item_id=60, item_group=Item_group{item_group_id=30, vat_type=Vat_type{vat_type_id=10, name='porez'}, name='elektrotehnika'}, units_of_measurement=Units_of_measurement{units_of_measurement_id=40, abbreviation='kom', name='komad'}, name='racunar', description='null', is_service=false}}
""2017-06-15 20:18:04 [main] INFO  c.c.invoicing.InvoicingApplication - Starting InvoicingApplication on DESKTOP-560J6HB with PID 3076 (C:\Users\User\Desktop\invoicing\target\classes started by User in C:\Users\User\Desktop\invoicing)
""2017-06-15 20:18:04 [main] INFO  c.c.invoicing.InvoicingApplication - No active profile set, falling back to default profiles: default
""2017-06-15 20:18:14 [main] INFO  c.c.invoicing.InvoicingApplication - Started InvoicingApplication in 11.083 seconds (JVM running for 11.615)
""2017-06-15 20:30:52 [main] INFO  c.c.invoicing.InvoicingApplication - Starting InvoicingApplication on DESKTOP-560J6HB with PID 10300 (C:\Users\User\Desktop\invoicing\target\classes started by User in C:\Users\User\Desktop\invoicing)
""2017-06-15 20:30:52 [main] INFO  c.c.invoicing.InvoicingApplication - No active profile set, falling back to default profiles: default
""2017-06-15 20:31:05 [main] INFO  c.c.invoicing.InvoicingApplication - Started InvoicingApplication in 13.443 seconds (JVM running for 14.0)
""2017-06-15 20:31:22 [https-jsse-nio-9000-exec-12] INFO  c.c.i.s.AuthenticationRestController - Korisnik sa username: worker1 se uspesno ulogovao.
